,Year Drafted,Name,Draft Pick,Date,Game Result (W/L),Pass Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,QBR,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
152,2017,Patrick Mahomes,10,2023-10-01,W,18,30,203,1,2,63.6,1,7,51,0,1
153,2017,Patrick Mahomes,10,2023-10-08,W,31,41,281,2,0,109.9,2,0,0,0,0
154,2017,Patrick Mahomes,10,2023-10-12,W,30,40,306,1,1,94.4,2,6,31,0,0
155,2017,Patrick Mahomes,10,2023-10-22,W,32,42,424,4,1,129.5,1,4,29,0,0
156,2017,Patrick Mahomes,10,2023-10-29,L,24,38,240,0,2,59.1,3,3,20,0,1
157,2017,Patrick Mahomes,10,2023-11-05,W,20,30,185,2,0,105.6,2,6,24,0,1
158,2017,Patrick Mahomes,10,2023-11-20,L,24,43,177,2,1,71.6,1,6,38,0,0
159,2017,Patrick Mahomes,10,2023-11-26,W,27,34,298,2,0,122.8,1,5,9,0,0
160,2017,Patrick Mahomes,10,2023-12-03,L,21,33,210,1,1,79.1,3,4,26,0,0
161,2017,Patrick Mahomes,10,2023-12-10,L,25,43,271,1,1,74.9,1,1,8,0,0
162,2017,Patrick Mahomes,10,2023-12-17,W,27,37,305,2,2,92.7,3,3,-5,0,0
163,2017,Patrick Mahomes,10,2023-12-25,L,27,44,235,1,1,73.6,4,10,53,0,1
164,2017,Patrick Mahomes,10,2023-12-31,W,21,29,245,1,0,109.1,2,4,2,0,1
165,2017,Deshaun Watson,12,2017-09-10,L,12,23,102,1,1,60.4,4,2,16,0,1
166,2017,Deshaun Watson,12,2017-09-14,W,15,24,125,0,0,75.9,3,5,67,1,0
167,2017,Deshaun Watson,12,2017-09-24,L,22,33,301,2,2,90.6,2,8,41,0,2
168,2017,Deshaun Watson,12,2017-10-01,W,25,34,283,4,1,125.0,1,4,24,1,0
169,2017,Deshaun Watson,12,2017-10-08,L,16,31,261,5,0,119.8,3,3,31,0,0
170,2017,Deshaun Watson,12,2017-10-15,W,17,29,225,3,1,103.4,1,6,23,0,0
171,2017,Deshaun Watson,12,2017-10-29,L,19,30,402,4,3,106.9,5,8,67,0,0
172,2017,Deshaun Watson,12,2018-09-09,L,17,34,176,1,1,62.9,3,8,40,0,1
173,2017,Deshaun Watson,12,2018-09-16,L,22,32,310,2,1,107.6,4,5,44,0,2
174,2017,Deshaun Watson,12,2018-09-23,L,24,40,385,2,1,98.4,3,5,36,0,0
175,2017,Deshaun Watson,12,2018-09-30,W,29,42,375,2,1,102.8,7,6,41,1,0
176,2017,Deshaun Watson,12,2018-10-07,W,33,44,375,1,1,98.2,1,10,40,0,1
177,2017,Deshaun Watson,12,2018-10-14,W,15,25,177,1,2,61.6,7,2,2,0,3
178,2017,Deshaun Watson,12,2018-10-21,W,12,24,139,1,0,81.8,1,7,13,0,0
179,2017,Deshaun Watson,12,2018-10-25,W,16,20,239,5,0,156.0,0,1,14,0,0
180,2017,Deshaun Watson,12,2018-11-04,W,17,24,213,2,0,125.9,4,6,38,0,0
181,2017,Deshaun Watson,12,2018-11-18,W,16,24,208,1,2,72.9,3,3,7,0,1
182,2017,Deshaun Watson,12,2018-11-26,W,19,24,210,2,0,130.9,4,9,70,1,0
183,2017,Deshaun Watson,12,2018-12-02,W,22,31,224,1,0,102.1,4,7,30,0,0
184,2017,Deshaun Watson,12,2018-12-09,L,27,38,267,1,0,99.3,5,5,35,0,0
185,2017,Deshaun Watson,12,2018-12-15,W,22,28,294,2,0,134.2,6,4,26,0,0
186,2017,Deshaun Watson,12,2018-12-23,L,29,40,339,2,0,114.5,4,8,49,2,1
187,2017,Deshaun Watson,12,2018-12-30,W,25,35,234,0,0,89.5,6,13,66,1,0
188,2017,Deshaun Watson,12,2019-09-09,L,20,30,268,3,1,114.3,6,4,40,1,0
