,Name,Draft Pick,Date,Game Result (W/L),Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
210,Jordan Love,26,2024-11-03,L,23,39,273,0,1,69.7,0,3,0,0,3
211,Jalen Hurts,53,2020-12-13,W,17,30,167,1,0,83.6,0,18,106,0,1
212,Jalen Hurts,53,2020-12-20,L,24,44,338,3,0,102.3,6,11,63,1,3
213,Jalen Hurts,53,2020-12-27,L,21,39,342,1,2,70.7,3,9,69,0,2
214,Jalen Hurts,53,2021-01-03,L,7,20,72,0,1,25.4,1,8,34,2,0
215,Jalen Hurts,53,2021-09-12,W,27,35,264,3,0,126.4,1,7,62,0,1
216,Jalen Hurts,53,2021-09-19,L,12,23,190,0,0,80.0,2,10,82,1,1
217,Jalen Hurts,53,2021-09-27,L,25,39,326,2,2,86.1,2,9,35,0,0
218,Jalen Hurts,53,2021-10-03,L,32,48,387,2,0,105.1,3,8,47,0,1
219,Jalen Hurts,53,2021-10-10,W,22,37,198,0,1,62.7,2,9,30,2,1
220,Jalen Hurts,53,2021-10-14,L,12,26,115,1,1,55.8,2,10,44,2,0
221,Jalen Hurts,53,2021-10-24,L,18,34,236,2,0,94.7,2,13,61,0,1
222,Jalen Hurts,53,2021-10-31,W,9,14,103,0,0,86.3,0,7,71,0,0
223,Jalen Hurts,53,2021-11-07,L,11,17,162,1,0,115.3,1,10,62,0,0
224,Jalen Hurts,53,2021-11-14,W,16,23,178,2,1,103.2,2,13,55,0,1
225,Jalen Hurts,53,2021-11-21,W,13,24,147,0,0,72.7,3,18,69,3,0
226,Jalen Hurts,53,2021-11-28,L,14,31,129,0,3,17.5,1,8,77,0,0
227,Jalen Hurts,53,2021-12-21,W,20,26,296,1,1,110.4,3,8,38,2,2
228,Jalen Hurts,53,2021-12-26,W,17,29,199,2,0,102.5,1,2,7,0,1
229,Jalen Hurts,53,2022-01-02,W,17,26,214,0,0,90.9,1,7,44,0,0
230,Jalen Hurts,53,2022-09-11,W,18,32,243,0,0,80.6,1,17,90,1,0
231,Jalen Hurts,53,2022-09-19,W,26,31,333,1,1,108.7,3,11,57,2,1
232,Jalen Hurts,53,2022-09-25,W,22,35,340,3,0,123.5,3,9,20,0,0
233,Jalen Hurts,53,2022-10-02,W,16,25,204,0,1,72.7,2,16,38,1,1
234,Jalen Hurts,53,2022-10-09,W,26,36,239,0,0,89.9,2,15,61,2,0
235,Jalen Hurts,53,2022-10-16,W,15,25,155,2,0,104.6,4,9,27,0,1
236,Jalen Hurts,53,2022-10-30,W,19,28,285,4,0,140.6,3,2,10,0,0
237,Jalen Hurts,53,2022-11-03,W,21,27,243,2,0,128.9,4,9,23,0,2
238,Jalen Hurts,53,2022-11-14,L,17,26,175,2,1,94.2,1,6,28,1,0
239,Jalen Hurts,53,2022-11-20,W,18,25,190,1,0,107.1,3,16,86,1,2
240,Jalen Hurts,53,2022-11-27,W,16,28,153,2,0,96.3,2,17,157,0,1
241,Jalen Hurts,53,2022-12-04,W,29,39,380,3,0,130.3,2,5,12,1,1
242,Jalen Hurts,53,2022-12-11,W,21,31,217,2,0,109.2,4,7,77,1,0
243,Jalen Hurts,53,2022-12-18,W,22,37,315,0,2,64.6,1,17,61,3,0
244,Jalen Hurts,53,2023-01-08,W,20,35,229,0,1,65.1,3,9,13,0,0
245,Jalen Hurts,53,2023-09-10,W,22,33,170,1,0,89.2,3,9,37,0,1
246,Jalen Hurts,53,2023-09-14,W,18,23,193,1,1,98.0,4,12,35,2,0
247,Jalen Hurts,53,2023-09-25,W,23,37,277,1,2,71.6,1,10,28,1,0
248,Jalen Hurts,53,2023-10-01,W,25,37,319,2,0,112.3,3,9,34,0,0
249,Jalen Hurts,53,2023-10-08,W,25,38,303,1,1,87.9,1,15,72,1,0
250,Jalen Hurts,53,2023-10-15,L,28,45,280,1,3,59.5,2,8,47,1,0
251,Jalen Hurts,53,2023-10-22,W,23,31,279,2,1,109.5,3,11,21,1,1
252,Jalen Hurts,53,2023-10-29,W,29,38,319,4,0,135.7,2,4,6,0,1
253,Jalen Hurts,53,2023-11-05,W,17,23,207,2,0,130.2,3,10,36,1,1
254,Jalen Hurts,53,2023-11-20,W,14,22,150,0,1,64.6,5,12,29,2,1
255,Jalen Hurts,53,2023-11-26,W,18,31,200,3,1,96.2,2,14,65,2,1
256,Jalen Hurts,53,2023-12-03,L,26,45,298,1,0,85.2,3,7,20,1,1
257,Jalen Hurts,53,2023-12-10,L,18,27,197,0,0,88.0,1,5,30,0,1
258,Jalen Hurts,53,2023-12-18,L,17,31,143,0,2,40.1,0,13,82,2,0
259,Jalen Hurts,53,2023-12-25,W,24,38,301,1,1,85.5,1,8,34,1,1
260,Jalen Hurts,53,2023-12-31,L,18,23,167,3,1,118.4,0,8,25,0,0
